Iteration,Loop_Count,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
130,1000,929775100,64328800,900127500
131,10,134570300,64467700,171819600
131,100,203740300,82655400,248243700
131,1000,918039700,64806100,906327000
132,10,142975000,64307800,148846900
132,100,235884200,80551500,250057400
132,1000,889806800,64419199,909547700
133,10,136200300,64818200,149718700
133,100,232244200,80302800,242589000
133,1000,891042600,64344500,909132600
134,10,159345300,64461000,179308000
134,100,260128800,75859000,218017700
134,1000,893186800,64461900,908209900
135,10,134709000,63848800,178946600
135,100,268064100,64464300,217045600
135,1000,938972300,64765100,900146000
136,10,134512600,64119800,178625800
136,100,233894500,63552800,217968400
136,1000,925832700,64751500,902488800
137,10,135382400,64681900,183178000
137,100,205307900,63953500,218381200
137,1000,928632500,64345900,901378900
138,10,139147800,66197200,176503200
138,100,205088800,64593700,248047000
138,1000,916371500,68553200,905082000
139,10,148998300,66291800,151865800
139,100,232856000,81160700,249304900
139,1000,893272200,64675200,901067800
140,10,140744400,64000500,149909500
140,100,236947000,80845500,225502000
140,1000,894613300,64657000,1038896199
141,10,143165200,64444199,218663000
141,100,228707600,68639800,234106300
141,1000,1156506300,66127900,906668100
142,10,142187200,65734299,149800700
142,100,213802800,80486100,312986200
142,1000,893158100,64853200,911678200
143,10,137237400,64195400,165809700
143,100,235099200,82317300,218103600
143,1000,890035600,64184099,908416000
144,10,134581900,70878200,308248400
144,100,243883300,64165200,220360100
144,1000,923856000,64440700,906858300
145,10,135054800,71165100,290388900
145,100,205995400,64151000,233805600
145,1000,943005400,66378800,901761200
146,10,135708800,71796100,150473400
146,100,204253800,71415600,362803300
146,1000,894386800,64920099,902951300
147,10,146487700,64062499,155718300
147,100,235695600,80489200,228987900
147,1000,897702300,64437200,900768800
148,10,134832000,71346400,296041700
148,100,243025900,64066899,219359500
148,1000,923482800,64480800,907973800
149,10,138548200,71677800,255016000
149,100,209006600,65073700,230298100
149,1000,933318100,81130200,911835700
150,10,149219500,71069300,152853800
150,100,204520000,68637500,322211200
150,1000,894746900,63950300,905914200
151,10,139861400,64344500,154008600
151,100,234469300,80627700,248378000
151,1000,893009400,92479900,910355800
152,10,139442000,74302400,267463100
152,100,251396300,64653800,218187500
152,1000,924668500,64694699,903255600
153,10,136264800,71728200,280051900
153,100,204239900,63758300,220531000
153,1000,931889900,65170099,905620500
154,10,134856600,71936600,165572900
154,100,204580900,70115900,365169300
154,1000,896722200,68243400,909499700
155,10,155434300,64130800,150517400
155,100,233627000,80041800,227890400
155,1000,891872700,64237500,903595400
156,10,134406700,69687600,275516600
156,100,243178900,64615900,219388500
156,1000,922015600,64343899,902025800
157,10,138034200,70480800,275964200
157,100,213066400,64059400,220792100
157,1000,922817900,65608200,906482400
158,10,134939700,69907200,209795200
158,100,202674300,76885500,351438400
158,1000,892878200,63972900,927804700
159,10,143387400,64199500,151087300
159,100,252967500,80311400,274976700
159,1000,922152300,64500000,906823600
160,10,134765900,74048200,236934800
160,100,246988500,65064600,217433100
160,1000,921909300,65217899,908694600
161,10,135430600,68279900,236393100
161,100,209728200,64024600,219414900
161,1000,937127800,64662100,905442100
162,10,134748600,68571300,172275900
162,100,204283500,70457300,304071400
162,1000,900949600,66935400,904369200
163,10,145616700,64492499,149774200
163,100,235115700,80540800,259611800
163,1000,894236300,64644400,903317900
164,10,147350100,63659700,153623400
164,100,234996800,81590900,221260600
164,1000,890691400,64497700,904757100
165,10,139903300,68807800,255603900
165,100,245395600,65113500,216658900
165,1000,924891500,64436900,906430400
166,10,134941900,71230500,242803800
166,100,205987900,63710699,219088500
166,1000,931514200,65594900,905858000
167,10,137052900,69355700,168582300
167,100,205045400,68561700,316894600
167,1000,896101300,63894800,914102800
168,10,143039300,63876600,149967700
168,100,238755300,81000500,268256700
168,1000,894614200,64274500,912594800
169,10,135386500,75707700,227493200
169,100,247914400,76748100,217922300
169,1000,893341200,64792199,902890600
170,10,149630000,67877700,231583100
170,100,241919100,67611000,235539800
170,1000,926510500,64453100,903906400
171,10,134703100,67652100,204241800
171,100,203234900,74279100,336862100
171,1000,898461700,64224699,920294900
172,10,169152700,75469700,156208800
172,100,234577200,80655000,247117400
172,1000,893469100,64685300,903992500
173,10,135589800,74727300,302781700
173,100,239689000,64543300,219391700
173,1000,923057100,64636500,907098100
174,10,135210400,71402300,305407500
174,100,205805800,64893099,219477000
174,1000,933954500,79099500,905785300
175,10,135307700,75985600,160240900
175,100,203187500,71769000,363600700
175,1000,901240300,64451100,911680400
176,10,141822000,64181199,150373000
176,100,234574000,80014500,242336700
176,1000,894156700,66330500,904853300
177,10,134780000,73827500,306704600
177,100,238400500,64562400,219026400
177,1000,925070300,64590700,908473000
178,10,135667700,72150600,320723000
178,100,211138800,64048600,223461300
178,1000,930223500,64493999,899565300
179,10,135708000,73665400,155349900
179,100,204908300,70093300,366050100
179,1000,898517200,68105000,909465000
180,10,149598000,64535999,151522900
180,100,235006100,80948800,226105600
180,1000,896287200,67093400,903200300
181,10,134815300,69429300,292294800
181,100,240086000,64793400,219673600
181,1000,927341300,64481500,924942100
182,10,134803200,69542700,282337200
182,100,210176100,63909100,219144100
182,1000,926294100,64665000,907634800
183,10,134088600,70298800,186370100
183,100,205321300,76040500,351372600
183,1000,898606800,64232300,907376500
184,10,145997900,64578800,149430900
184,100,234769400,83217400,276637300
184,1000,895557200,64609500,916341400
185,10,137994200,64168000,155038700
185,100,235838100,82328000,224481200
185,1000,890315600,64640600,907268700
186,10,135148100,68241000,255379100
186,100,245206000,64378800,218023400
186,1000,923173100,87102000,906592300
187,10,158670200,71298300,257723500
187,100,206798100,63666500,254689600
187,1000,936695700,64218300,906319200
188,10,135593900,72439900,172206900
188,100,204157600,67138000,293371900
188,1000,891120400,64321900,910200400
189,10,153183900,64653000,151211400
189,100,234770100,81517600,251535799
189,1000,919655200,64611300,906909800
190,10,137790400,68693000,250657499
190,100,238778900,67618600,218728600
190,1000,896216200,65187899,902410300
191,10,140812000,69044300,246382400
191,100,235609500,64131600,219236000
191,1000,926654200,64904699,906210800
192,10,161214800,70729000,216071200
192,100,205085300,63956200,243121700
192,1000,929701800,69298400,906678500
193,10,134663900,69157200,154664800
193,100,205041800,68029400,306538300
193,1000,893222100,64751900,913647500
194,10,159569500,63804100,163375600
194,100,237820000,80985800,266377400
