Iteration,N,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
169,40000,656500,1045600,1562000
170,40000,846700,1181300,1482800
171,40000,647200,1501300,2083900
172,40000,612500,1048600,1432600
173,40000,655700,961000,1411500
174,40000,625200,1087200,1406200
175,40000,664700,892300,1315200
176,40000,642500,1072500,1515900
177,40000,682100,1024600,1453200
178,40000,701700,957600,1455100
179,40000,617100,911700,1341400
180,40000,660500,1015800,1330700
181,40000,713200,945000,1433500
182,40000,625900,759100,1189900
183,40000,643500,943300,1345400
184,40000,640100,1027100,1387800
185,40000,613400,1008199,1429000
186,40000,630600,1083600,1297700
187,40000,647400,1089000,1515500
188,40000,631600,974100,1353400
189,40000,625300,960300,1357500
190,40000,613400,977700,1322000
191,40000,711000,1210400,1627300
192,40000,960000,973100,1254100
193,40000,644300,946400,1366300
194,40000,610600,940500,1378100
195,40000,627500,938100,1346400
196,40000,640000,1109100,1495800
197,40000,671800,981600,1321300
198,40000,618900,995300,1461700
199,40000,640500,871700,1265800
200,40000,762800,1116200,1417600
1,80000,695600,1076000,1552300
2,80000,942200,1096800,1510400
3,80000,691300,893200,1497200
4,80000,675100,1137300,1644900
5,80000,691100,1073400,1653300
6,80000,849100,1085900,1507300
7,80000,842200,1163100,1473300
8,80000,707700,1077500,1518100
9,80000,715100,1027500,1458900
10,80000,733000,1070800,1506700
11,80000,723900,1183000,1610600
12,80000,1686600,1140300,1610800
13,80000,775400,1203200,1566000
14,80000,693300,782000,1282900
15,80000,701800,1072600,1386400
16,80000,679000,1008800,1463900
17,80000,686800,941900,1229200
18,80000,698000,1055200,1277200
19,80000,769100,917900,1416100
20,80000,720900,1057000,1539300
21,80000,703700,1113800,1471600
22,80000,729700,989899,1522000
23,80000,773900,905600,1514800
24,80000,681400,942600,1401000
25,80000,687200,936100,1381400
26,80000,693500,920700,1357500
27,80000,909600,1064400,1389600
28,80000,743900,937600,1461100
29,80000,716700,972300,1337800
30,80000,682100,884100,1588500
31,80000,675200,948200,1445700
32,80000,807500,909000,1332000
33,80000,683700,1044100,1517600
34,80000,819300,957500,1457400
35,80000,1000300,1263400,1835500
36,80000,679300,1019699,1368200
37,80000,762100,1099300,1526500
38,80000,870400,1031800,1478200
39,80000,704100,1057000,1514800
40,80000,760500,1088800,1514500
41,80000,749300,1083100,1532500
42,80000,707500,1156400,1596400
43,80000,745400,1063000,1592600
44,80000,778600,1090200,1638200
45,80000,741300,1336300,1550500
46,80000,699000,1209300,1721700
47,80000,721500,1134400,1746000
48,80000,760600,994400,1383000
49,80000,725300,989099,1485200
50,80000,782200,938500,1484400
51,80000,709800,954800,1370800
52,80000,716700,1018199,1385300
53,80000,765300,1071100,1495100
54,80000,689700,918700,1492000
55,80000,961900,965500,1553500
56,80000,1073500,1141500,1550000
57,80000,982400,1172600,1539300
58,80000,785300,1200200,1590900
59,80000,727700,1101400,1598200
60,80000,729800,1126400,1548900
61,80000,912600,1045399,1755300
62,80000,992600,1098700,1551500
63,80000,748600,1093500,1864300
64,80000,784300,1090300,1511100
65,80000,817500,1443100,1794000
66,80000,705300,1076000,1389400
67,80000,696900,865600,1299800
68,80000,734400,1012600,1387300
69,80000,700500,985700,1421800
70,80000,702300,1008100,1427000
71,80000,734200,1009799,1524300
72,80000,712400,1104600,1532900
73,80000,695700,981500,1401400
74,80000,769600,1115000,1553100
75,80000,739900,1180500,1486100
76,80000,720300,1108900,1468000
77,80000,915800,1081200,1492600
78,80000,769200,1021300,1365900
79,80000,768700,1167300,1493000
80,80000,729500,1093200,1693500
81,80000,830600,1034800,1944900
82,80000,709600,1044199,1587100
83,80000,1117300,997400,1737400
84,80000,703400,1127900,1596000
85,80000,721100,1056500,1561900
86,80000,777600,989899,1522600
87,80000,769400,1093500,1709800
88,80000,836500,807800,1247800
89,80000,692600,938500,1447000
90,80000,740900,983200,1384600
91,80000,705700,892300,1411900
92,80000,697100,1082600,1451900
93,80000,704800,1088600,1560400
94,80000,683800,1055100,1409800
95,80000,763500,931400,1457100
96,80000,691000,1076400,1527800
97,80000,1176800,985200,1403900
98,80000,787100,987300,1990800
99,80000,711100,977999,1410000
100,80000,704000,1094700,1502000
101,80000,715000,935100,1402100
102,80000,712300,972700,1425400
103,80000,698600,1066500,1553200
104,80000,683500,1066000,1610600
105,80000,990800,961900,1495500
106,80000,836900,1080900,1356900
107,80000,691900,1077300,1445000
108,80000,793800,1093600,1665300
109,80000,686000,878500,1334500
110,80000,715400,988400,1468100
111,80000,690300,1033200,1591800
112,80000,714400,1067500,1582200
113,80000,1019400,1118000,1582100
114,80000,674400,1046899,1534100
115,80000,754800,1063500,1583900
116,80000,737100,1062500,1717000
117,80000,763600,1082800,1595300
118,80000,789800,1157700,1850500
119,80000,860200,1134200,1386800
120,80000,739900,834100,1299400
121,80000,749800,1048200,1458800
122,80000,713800,959900,1287200
123,80000,699100,978700,1367500
124,80000,692800,975400,1544900
125,80000,684000,987199,1486600
126,80000,920100,969000,1396400
127,80000,709400,1013599,1335800
128,80000,681100,800500,1258100
129,80000,792000,921800,1447400
130,80000,715400,1034900,1524800
131,80000,702100,965700,1330500
132,80000,710900,1209200,1518300
133,80000,687400,1080300,1449700
134,80000,681100,964200,1411600
135,80000,688300,1052400,1286800
136,80000,748400,984899,1468800
137,80000,708500,973900,1332700
138,80000,689800,1014500,2059300
139,80000,690100,1227800,1625500
140,80000,2442300,1091400,1576100
141,80000,782400,950500,1546600
142,80000,935800,1223300,1532200
143,80000,733100,1097500,1503500
144,80000,737300,932000,1361200
145,80000,768400,902100,1247700
146,80000,730100,1015499,1479700
147,80000,764400,1026400,1455800
148,80000,744600,926100,1510000
149,80000,845100,902600,1373900
